ACCTG-19,WORK EXPERIENCE (COOPERATIVE) OCCUPATIONAL,Transferable to CSU only,8
ACCTG-4A,FINANCIAL ACCOUNTING,Transferable to both UC and CSU,4
ACCTG-4B,MANAGERIAL ACCOUNTING,Transferable to both UC and CSU,4
ACCTG-51,INTERMEDIATE ACCOUNTING,Transferable to CSU only,3
ACCTG-52,COST ACCOUNTING,Transferable to CSU only,3
ACCTG-53,TAX ACCOUNTING,Transferable to CSU only,3
ACCTG-54A,PRINCIPLES OF AUDITING,Transferable to CSU only,3
ACCTG-56,PAYROLL ACCOUNTING,Transferable to CSU only,3
ACCTG-70,QUICKBOOKS FUNDAMENTALS,Transferable to CSU only,3
AFRAM-1,INTRODUCTION TO AFRICAN AMERICAN STUDIES,Transferable to both UC and CSU,3
AFRAM-15,AFRICAN-AMERICAN MUSIC,Transferable to both UC and CSU,3
AFRAM-2,AFRICAN AMERICAN CULTURAL ADAPTATION,Transferable to both UC and CSU,3
AFRAM-3,AFRICAN-AMERICAN ART,Transferable to both UC and CSU,3
AFRAM-34,HISTORY OF THE AMERICAN CIVIL RIGHTS MOVEMENT,Transferable to both UC and CSU,3
AG-31,FOOD SAFETY - HACCP,Transferable to CSU only,3
AGBS-1,INTRODUCTION TO AGRICULTURE BUSINESS,Transferable to CSU only,3
AGBS-2,AGRICULTURAL ECONOMICS,Transferable to both UC and CSU,3
AGBS-3,AGRICULTURE ACCOUNTING,Transferable to CSU only,3
AGBS-4,COMPUTER APPLICATIONS IN AGRICULTURE,Transferable to both UC and CSU,3
AGBS-5,AG SALES AND COMMUNICATIONS,Transferable to CSU only,3
AGED-50,AGRICULTURE EDUCATION ORIENTATION,Transferable to CSU only,3
AHLTH-1,INTRODUCTION TO PUBLIC HEALTH,Transferable to both UC and CSU,3
AMIND-31,AMERICAN INDIAN CULTURE,Transferable to both UC and CSU,3
AMIND-32,AMERICAN INDIAN HISTORY,Transferable to both UC and CSU,3
AMIND-35,AMERICAN INDIAN ART,Transferable to both UC and CSU,3
AMST-10,AMERICAN PLURALISM: A SEARCH FOR COMMON GROUND IN A MULTICULTURAL SO,Transferable to both UC and CSU,3
AMST-11,LAW AND DEMOCRACY,Transferable to both UC and CSU,3
AMT-10,AVIATION MAINTENANCE GENERAL A,Transferable to CSU only,6.5
AMT-20,AVIATION MAINTENANCE GENERAL B,Transferable to CSU only,6.5
AMT-30,AVIATION MAINTENANCE AIRFRAME A,Transferable to CSU only,6.5
AMT-40,AVIATION MAINTENANCE AIRFRAME B,Transferable to CSU only,6.5
ANTHRO-1,BIOLOGICAL ANTHROPOLOGY,Transferable to both UC and CSU,3
ANTHRO-13,ANTHROPOLOGY OF MAGIC WITCHCRAFT AND RELIGION,Transferable to both UC and CSU,3
ANTHRO-1L,BIOLOGICAL ANTHROPOLOGY LABORATORY,Transferable to both UC and CSU,1
ANTHRO-2,CULTURAL ANTHROPOLOGY,Transferable to both UC and CSU,3
ANTHRO-28,ANCIENT MEXICO,Transferable to both UC and CSU,3
ANTHRO-2H,HONORS CULTURAL ANTHROPOLOGY,Transferable to both UC and CSU,3
ANTHRO-3,ARCHAEOLOGY AND WORLD PREHISTORY,Transferable to both UC and CSU,3
ANTHRO-4,INTRODUCTION TO ARCHAEOLOGY,Transferable to both UC and CSU,3
ARCH-10,ARCHITECTURAL DESIGN AND VISUALIZATION I,Transferable to both UC and CSU,3
ARCH-11,INTRODUCTION TO ARCHITECTURE AND ENVIRONMENTAL DESIGN,Transferable to both UC and CSU,2
ARCH-12,ARCHITECTURAL PRACTICE I,Transferable to CSU only,2
ARCH-14,DIGITAL TOOLS FOR ARCHITECTS,Transferable to CSU only,2
ARCH-15A,HISTORY OF ARCHITECTURE I,Transferable to both UC and CSU,3
ARCH-30,ARCHITECTURAL DESIGN AND VISUALIZATION III,Transferable to both UC and CSU,3
ARCH-31,BUILDING CODES,Transferable to CSU only,3
ARCH-32,STATICS AND STRENGTH OF MATERIALS,Transferable to CSU only,3
ARCH-34,DIGITAL RENDERING,Transferable to CSU only,3
ARMEN-1,BEGINNING ARMENIAN,Transferable to both UC and CSU,5
ARMEN-2,HIGH-BEGINNING ARMENIAN,Transferable to both UC and CSU,5
ART-10,BEGINNING CERAMICS,Transferable to both UC and CSU,3
ART-11,BEGINNING SCULPTURE,Transferable to both UC and CSU,3
ART-12A,CRAFT WORKSHOP: LIVING TRADITIONS,Transferable to CSU only,3
ART-14,BEGINNING PRINTMAKING,Transferable to both UC and CSU,3
ART-15,CERAMIC SCULPTURE,Transferable to CSU only,3
ART-17,INTERMEDIATE DRAWING,Transferable to both UC and CSU,3
ART-18,INTERMEDIATE FIGURE DRAWING AND ANATOMY,Transferable to both UC and CSU,3
ART-19,INTERMEDIATE PAINTING: OIL/ACRYLIC,Transferable to both UC and CSU,3
ART-2,INTRODUCTION TO VISUAL CULTURE,Transferable to both UC and CSU,3
ART-26,ARTS OF AFRICA OCEANIA INDIGENOUS NORT,Transferable to both UC and CSU,3
ART-29,ADVANCED PAINTING: OIL/ACRYLIC,Transferable to both UC and CSU,3
ART-3,TWO-DIMENSIONAL DESIGN,Transferable to both UC and CSU,3
ART-30A,ILLUSTRATOR: BEGINNING COMPUTER DRAWING AND DESIGN,Transferable to both UC and CSU,3
ART-36A,INTERMEDIATE WHEEL THROWING,Transferable to both UC and CSU,3
ART-37A,PHOTOSHOP: DIGITAL VISUAL ART,Transferable to both UC and CSU,3
ART-38A,INTERMEDIATE HAND-BUILDING,Transferable to both UC and CSU,3
ART-4,THREE-DIMENSIONAL DESIGN,Transferable to both UC and CSU,3
ART-41,COMPUTERIZED MULTIMEDIA,Transferable to both UC and CSU,3
ART-42,COMPUTER ANIMATION/3D,Transferable to CSU only,3
ART-43,INDEPENDENT PROJECTS STUDIO,Transferable to CSU only,3
ART-44,DIGITAL VIDEO EDITING,Transferable to CSU only,3
ART-5,ART HISTORY ANCIENT TO MEDIEVAL,Transferable to both UC and CSU,3
ART-52,INTRODUCTION TO DIGITAL ART/NEW MEDIA,Transferable to both UC and CSU,3
ART-55,INTRODUCTION TO ASIAN ART,Transferable to both UC and CSU,3
ART-6,ART HISTORY RENAISSANCE TO MODERN,Transferable to both UC and CSU,3
ART-6H,HONORS ART HISTORY RENAISSANCE TO MODERN,Transferable to both UC and CSU,3
ART-7,BEGINNING DRAWING,Transferable to both UC and CSU,3
ART-8,BEGINNING FIGURE DRAWING AND ANATOMY,Transferable to both UC and CSU,3
ART-9,BEGINNING PAINTING: OIL AND ACRYLIC,Transferable to both UC and CSU,3
AS-1,INTRODUCTION TO ANIMAL SCIENCE,Transferable to both UC and CSU,3
AS-10,MEAT EVALUATION AND PROCESSING,Transferable to CSU only,3
AS-19V,COOPERATIVE WORK EXPERIENCE ANIMAL SCIENCE,Transferable to CSU only,8
AS-2,BEEF PRODUCTION,Transferable to both UC and CSU,3
AS-21,EQUINE SCIENCE,Transferable to both UC and CSU,3
AS-23,INTRODUCTORY FARRIER SCIENCE,Transferable to CSU only,3
AS-24,EQUITATION,Transferable to CSU only,2
AS-25,BASIC EQUINE HANDLING,Transferable to both UC and CSU,2
AS-26,WESTERN RIDING & HORSEMANSHIP,Transferable to both UC and CSU,2
AS-40,LIVESTOCK EXHIBITION AND MARKETING,Transferable to CSU only,2
AS-6,LIVESTOCK SELECTION AND EVALUATION,Transferable to both UC and CSU,3
ASAMER-1,INDO-CHINESE AMERICANS,Transferable to both UC and CSU,3
ASAMER-15,INTRODUCTION TO ASIAN-AMERICANS,Transferable to both UC and CSU,3
ASAMER-25,ASIAN AMERICAN SOCIAL ISSUES,Transferable to both UC and CSU,3
ASAMER-55,INTRODUCTION TO ASIAN ART,Transferable to both UC and CSU,3
ASAMER-8,CHINESE CULTURE,Transferable to both UC and CSU,3
ASL-1,BEGINNING AMERICAN SIGN LANGUAGE,Transferable to both UC and CSU,4
ASL-2,HIGH-BEGINNING AMERICAN SIGN LANGUAGE,Transferable to both UC and CSU,4
ASL-20,INTRODUCTION TO INTERPRETING,Transferable to CSU only,3
ASL-3,INTERMEDIATE AMERICAN SIGN LANGUAGE,Transferable to both UC and CSU,4
ASL-4,HIGH-INTERMEDIATE AMERICAN SIGN LANGUAGE,Transferable to both UC and CSU,4
ASL-5,DEAF CULTURE,Transferable to both UC and CSU,3
ASL-6,STRUCTURE OF AMERICAN SIGN LANGUAGE,Transferable to both UC and CSU,3
ASTRO-10,BASIC ASTRONOMY,Transferable to both UC and CSU,3
AT-10,TECHNICAL COMPUTER APPLICATIONS,Transferable to both UC and CSU,3
AT-19,WORK EXPERIENCE (COOPERATIVE) OCCUPATIONAL,Transferable to CSU only,8
AT-21,OCCUPATIONAL SAFETY AND HEALTH,Transferable to CSU only,2
AT-40,PREPARING FOR EMPLOYMENT OPPORTUNITIES,Transferable to CSU only,3
ATGM-52,AUTOMOTIVE ELECTRICAL SYSTEMS,Transferable to CSU only,4
ATGM-53,ENGINE PERFORMANCE,Transferable to CSU only,4
ATGM-54,SUSPENSION STEERING AND WHEEL ALIGNMENT,Transferable to CSU only,4
ATGM-56,AUTOMOTIVE BRAKING SYSTEMS,Transferable to CSU only,4
AUTOT-10,INTRODUCTION TO DIESEL TECHNOLOGY,Transferable to CSU only,3
AUTOT-19,WORK EXPERIENCE (COOPERATIVE) OCCUPATIONA,Transferable to CSU only,8
AUTOT-52,AUTOMOTIVE ELECTRICAL SYSTEMS,Transferable to CSU only,4
AUTOT-53,ENGINE PERFORMANCE,Transferable to CSU only,4
AUTOT-54,SUSPENSION STEERING AND WHEEL ALIGNMENT,Transferable to CSU only,4
AUTOT-56,AUTOMOTIVE BRAKING SYSTEMS,Transferable to CSU only,4
AUTOT-58,INDIVIDUALIZED SKILLS TRAINING (IST) CHASSIS SYSTEMS I LABORATORY,Transferable to CSU only,1
AUTOT-58A,INDIVIDUALIZED SKILLS TRAINING (IST) CHASSIS SYSTEMS II LABORATORY,Transferable to CSU only,1
AUTOT-61,DIESEL ENGINES,Transferable to CSU only,4
AUTOT-66,MD/HD BRAKES AND PREVENTATIVE MAINTENANCE INSPECTION (PMI),Transferable to CSU only,4
AUTOT-9,AUTOMOTIVE ESSENTIALS,Transferable to CSU only,3
BA-10,INTRODUCTION TO BUSINESS,Transferable to both UC and CSU,3
BA-15,INTRODUCTION TO MANAGEMENT,Transferable to CSU only,3
BA-18,BUSINESS AND THE LEGAL ENVIRONMENT,Transferable to both UC and CSU,4
BA-19,WORK EXPERIENCE (COOPERATIVE) OCCUPATIONAL,Transferable to CSU only,8
BA-19V,COOPERATIVE WORK EXPERIENCE BUSINESS,Transferable to CSU only,8
BA-20,LAW AND THE LEGAL SYSTEM,Transferable to both UC and CSU,3
BA-27,COLLEGIATE ENTREPRENEURS ORGANIZATION,Transferable to CSU only,3
BA-28,E-LAW AND ETHICS,Transferable to CSU only,3
BA-30,PERSONAL FINANCE,Transferable to both UC and CSU,3
BA-31,HUMAN RESOURCE MANAGEMENT,Transferable to CSU only,3
BA-33,HUMAN RELATIONS IN BUSINESS,Transferable to CSU only,3
BA-34,FUNDAMENTALS OF INVESTING,Transferable to CSU only,3
BA-38,OPERATION OF THE SMALL BUSINESS,Transferable to CSU only,3
BA-39,FINITE MATHEMATICS FOR BUSINESS,Transferable to both UC and CSU,3
BA-40,SUPERVISION AND LEADERSHIP,Transferable to CSU only,3
BA-43,PRINCIPLES OF MANAGEMENT,Transferable to CSU only,3
BA-47,CAREERS-BUSINESS,Transferable to CSU only,1
BA-48,E-BUSINESS,Transferable to CSU only,3
BA-5,BUSINESS COMMUNICATIONS,Transferable to CSU only,3
BA-51,BUSINESS PLANNING AND NEW VENTURE LAUNCH,Transferable to CSU only,1.5
BA-52,INTRODUCTION TO ENTREPRENEURSHIP,Transferable to CSU only,3
BIOL-10,INTRODUCTION TO LIFE SCIENCE LECTURE,Transferable to both UC and CSU,3
BIOL-10L,INTRODUCTION TO LIFE SCIENCE LAB,Transferable to both UC and CSU,1
BIOL-11A,BIOLOGY FOR SCIENCE MAJORS I,Transferable to both UC and CSU,5
BIOL-11B,BIOLOGY FOR SCIENCE MAJORS II,Transferable to both UC and CSU,5
BIOL-12,RESEARCH IN BIOLOGY,Transferable to both UC and CSU,3
BIOL-14,CONSERVATION BIOLOGY,Transferable to both UC and CSU,3
BIOL-2,ENVIRONMENTAL SCIENCE,Transferable to both UC and CSU,4
BIOL-20,HUMAN ANATOMY,Transferable to both UC and CSU,4
BIOL-21A,HUMAN ANATOMY AND PHYSIOLOGY I,Transferable to both UC and CSU,4
BIOL-21B,HUMAN PHYSIOLOGY AND PHYSIOLOGY II,Transferable to both UC and CSU,5
BIOL-22,HUMAN PHYSIOLOGY,Transferable to both UC and CSU,5
BIOL-25,INTRODUCTION TO ANATOMY AND PHYSIOLOGY,Transferable to both UC and CSU,4
BIOL-3,INTRODUCTION TO LIFE SCIENCE,Transferable to both UC and CSU,4
BIOL-31,MICROBIOLOGY,Transferable to both UC and CSU,5
BIOL-5,HUMAN BIOLOGY,Transferable to both UC and CSU,4
BIOL-55,INTRODUCTION TO THE BIOLOGY OF HUMANS,Transferable to both UC and CSU,3
BT-1,COMPUTER DOCUMENT PROCESSING I,Transferable to CSU only,3
BT-18,SPREADSHEET FUNDAMENTALS,Transferable to CSU only,2
BT-19,WORK EXPERIENCE (COOPERATIVE) OCCUPATIONAL,Transferable to CSU only,8
BT-23,JOB SEARCH AND WORKPLACE SKILLS,Transferable to CSU only,3
BT-24,BEGINNING EXCEL,Transferable to CSU only,1
BT-28,MICROSOFT WORD I,Transferable to CSU only,1.5
BT-29,MICROSOFT WORD II,Transferable to CSU only,1.5
BT-31,21ST CENTURY WORKFORCE SKILLS,Transferable to CSU only,1.5
BT-33,SOCIAL MEDIA AND EMERGING TECHNOLOGIES IN THE WORKPLACE,Transferable to CSU only,3
BT-5,WORKPLACE COMMUNICATION,Transferable to CSU only,3
BT-6,RECORDS MANAGEMENT,Transferable to CSU only,3
BT-9,COMPUTER APPLICATIONS I,Transferable to CSU only,4
CADD-14,2D CAD I,Transferable to CSU only,3
CADD-16,3D SOLID MODELING,Transferable to CSU only,3
CADD-24,2D CAD II,Transferable to CSU only,3
CADD-32,REVERSE ENGINEERING I,Transferable to CSU only,3
CADD-36A,3D SOLID MODELING III,Transferable to CSU only,3
CADD-42,MECHANICAL DRAWING III,Transferable to CSU only,3
CAM-10,CNC MILL PROGRAMMING & OPERATION I,Transferable to CSU only,4
CAM-15,CNC PROGRAMMING FOR MACHINIST,Transferable to CSU only,2.5
CAM-20,CNC MILL PROGRAMMING & OPERATION II,Transferable to CSU only,4
CAM-26,LATHE PROGRAMMING AND OPERATION II,Transferable to CSU only,3
CAM-5,CNC OPERATION AND MAINTENANCE FOR MACHINIST,Transferable to CSU only,2.5
CHDEV-1,PRINCIPLES AND PRACTICES OF TEACHING YOUNG CHILDREN,Transferable to CSU only,3
CHDEV-11,THE YOUNG CHILD WITH SPECIAL NEEDS,Transferable to CSU only,3
CHDEV-15,DIVERSITY AND CULTURE IN EARLY CHILDHOOD EDUCATION PROGRAMS,Transferable to CSU only,3
CHDEV-17A,INFANT AND TODDLER PRACTICUM,Transferable to CSU only,3
CHDEV-17B,ADVANCED INFANT AND TODDLER DEVELOPMENT,Transferable to CSU only,3
CHDEV-19V,COOPERATIVE WK EXPER CHILD DEVELOPMENT DEVELOPMENT,Transferable to CSU only,8
CHDEV-20,OBSERVATION AND ASSESSMENT,Transferable to CSU only,3
CHDEV-3,INTRODUCTION TO CURRICULUM,Transferable to CSU only,3
CHDEV-30,CHILD FAMILY AND COMMUNITY,Transferable to both UC and CSU,3
CHDEV-37A,EARLY CHILDHOOD PRACTICUM,Transferable to CSU only,3
CHDEV-38,LIFESPAN DEVELOPMENT,Transferable to both UC and CSU,3
CHDEV-39,CHILD GROWTH AND DEVELOPMENT,Transferable to both UC and CSU,3
CHDEV-40A,ADMINISTRATION I: PROGRAMS IN EARLY CHILDHOOD EDUCATION,Transferable to CSU only,3
CHDEV-40B,ADMINISTRATION II: PERSONNEL AND LEADERSHIP IN EARLY CHILDHOOD EDUCA,Transferable to CSU only,3
CHDEV-42,CHILD NUTRITION,Transferable to CSU only,3
CHDEV-47,EMERGENT LITERACY,Transferable to CSU only,3
CHDEV-48,SUPPORTING CHILDREN WITH CHALLENGING BEHAVIORS,Transferable to CSU only,3
CHDEV-5,PARENT EDUCATION,Transferable to CSU only,3
CHDEV-6,HEALTH SAFETY AND NUTRITION IN EARLY CHILDHOOD EDUCATION,Transferable to CSU only,3
CHEM-18L,ELEMENTARY ORGANIC CHEMISTRY LAB,Transferable to both UC and CSU,2
CHEM-1A,GENERAL CHEMISTRY,Transferable to both UC and CSU,5
CHEM-1B,GENERAL CHEMISTRY AND QUALITATIVE ANALYSIS,Transferable to both UC and CSU,5
CHEM-28A,ORGANIC CHEMISTRY I,Transferable to both UC and CSU,3
CHEM-28B,ORGANIC CHEMISTRY II,Transferable to both UC and CSU,3
CHEM-29A,ORGANIC CHEMISTRY LABORATORY I,Transferable to both UC and CSU,2
CHEM-29B,ORGANIC CHEMISTRY LABORATORY II,Transferable to both UC and CSU,2
CHEM-3A,INTRODUCTORY GENERAL CHEMISTRY,Transferable to both UC and CSU,4
CHEM-3B,INTRODUCTORY ORGANIC AND BIOLOGICAL CHEMISTRY,Transferable to both UC and CSU,4
CHEM-8A,ELEMENTARY ORGANIC CHEMISTRY,Transferable to both UC and CSU,3
CHIN-1,BEGINNING CHINESE,Transferable to both UC and CSU,5
CIT-12,COMPUTER LITERACY,Transferable to both UC and CSU,3
CIT-15,COMPUTER CONCEPTS,Transferable to both UC and CSU,3
CIT-19,WORK EXPERIENCE (COOPERATIVE) OCCUPATIONAL,Transferable to CSU only,8
CIT-23,SPREADSHEET FUNDAMENTALS,Transferable to CSU only,2
CIT-28,CLIENT/SERVER DATABASES,Transferable to CSU only,3
CIT-31,BEGINNING EXCEL,Transferable to CSU only,1
CIT-40,COMPUTER OPERATING SYSTEMS,Transferable to both UC and CSU,4
CIT-45,DATA COMMUNICATIONS,Transferable to CSU only,3
CIT-48A,IT+ FUNDAMENTALS,Transferable to CSU only,3
CIT-48B,A+ AND SECURITY PRINCIPLES,Transferable to CSU only,4
CIT-50,FUNDAMENTALS OF NETWORKING,Transferable to CSU only,4
CIT-57,WIRELESS NETWORK SECURITY,Transferable to CSU only,3
CIT-58E,PENETRATION TESTING,Transferable to CSU only,3
CIT-59,LINUS SYSTEM ADMINISTRATION,Transferable to CSU only,3
CIT-63,BEGINNING JAVA PROGRAMMING,Transferable to both UC and CSU,4
CIT-66,BEGINNING C++ PROGRAMMING,Transferable to both UC and CSU,4
CIT-82,INTRODUCTION TO WEB DEVELOPMENT,Transferable to CSU only,3
CIT-85,HTML AND CSS,Transferable to CSU only,3
CIT-93,JAVASCRIPT,Transferable to CSU only,4
CIT-95,INTRODUCTION TO PYTHON PROGRAMMING,Transferable to CSU only,4
CLS-11,INTRODUCTION TO CHICANO-LATINO STUDIES,Transferable to both UC and CSU,3
CLS-12,MEXICAN AMERICAN HISTORY,Transferable to both UC and CSU,3
CLS-13,POLITICS AND THE CHICANO-LATINO COMMUNITY,Transferable to both UC and CSU,3
CLS-17A,BEGINNING MEXICAN FOLK DANCE,Transferable to both UC and CSU,3.5
CLS-17B,BEGINNING INTERMEDIATE MEXICAN FOLK DANCE,Transferable to both UC and CSU,3.5
CLS-20,CHICANO ART,Transferable to both UC and CSU,3
CLS-21,CHICANO LITERATURE,Transferable to both UC and CSU,3
CLS-24,LA CHICANA AND LATINA,Transferable to both UC and CSU,3
CLS-28,ANCIENT MEXICO,Transferable to both UC and CSU,3
CLS-29,HISTORY OF MEXICO COLONIAL TO CONTEMPORARY PERIOD,Transferable to both UC and CSU,3
COMM-1,INTRODUCTION TO PUBLIC SPEAKING,Transferable to both UC and CSU,3
COMM-10,INTERCULTURAL COMMUNICATION,Transferable to both UC and CSU,3
COMM-12,FUNDAMENTALS OF ORAL INTERPRETATION,Transferable to both UC and CSU,3
COMM-15,COMPUTER-MEDIATED COMMUNICATION,Transferable to CSU only,3
COMM-1H,HONORS PUBLIC SPEAKING,Transferable to both UC and CSU,3
COMM-2,INTERPERSONAL COMMUNICATION,Transferable to both UC and CSU,3
COMM-25,ARGUMENTATION,Transferable to both UC and CSU,3
COMM-26,INTERCOLLEGIATE FORENSICS LABORATORY,Transferable to CSU only,3
COMM-4,PERSUASION,Transferable to both UC and CSU,3
COMM-8,GROUP COMMUNICATION,Transferable to both UC and CSU,3
CONS-50,BASIC RESIDENTIAL CONSTRUCTION,Transferable to CSU only,4
CONS-50A,BASIC RESIDENTIAL CONSTRUCTION,Transferable to CSU only,3
CONS-51,RESIDENTIAL CONSTRUCTION: FOUNDATIONS AND FRAMING,Transferable to CSU only,9
CONS-52A,INTRODUCTORY CONSTRUCTION MANAGEMENT 1,Transferable to CSU only,9
CONS-55,ROOF FRAMING SYSTEMS,Transferable to CSU only,2.5
COTR-19G,COOPERATIVE WORK EXPERIENCE,Transferable to CSU only,6
COTR-19V,COOPERATIVE WORK EXPERIENCE VOCATIONAL,Transferable to CSU only,8
COUN-34,CAREER AWARENESS,Transferable to CSU only,2
COUN-43,GROUP DYNAMICS AND SELF UNDERSTANDING,Transferable to CSU only,2
COUN-47,LEARNING STRATEGIES,Transferable to CSU only,2
COUN-48,CAREER PLANNING AND DEVELOPMENT,Transferable to CSU only,2
COUN-53,COLLEGE AND LIFE MANAGEMENT,Transferable to both UC and CSU,3
COUN-54,CIVIC RESPONSIBILITY AND LEADERSHIP,Transferable to CSU only,1
CRIM-1,INTRODUCTION TO CRIMINOLOGY,Transferable to both UC and CSU,3
CRIM-10,VICE CONTROL,Transferable to CSU only,3
CRIM-11,JUVENILE DELINQUENCY,Transferable to CSU only,3
CRIM-12,CRIMINAL JUSTICE COMMUNICATIONS,Transferable to CSU only,3
CRIM-13,THE CONSTITUTION AND YOUR INDIVIDUAL RIGHTS,Transferable to both UC and CSU,3
CRIM-14,MULTICULTURAL ISSUES WITHIN PUBLIC SAFETY,Transferable to both UC and CSU,3
CRIM-15,INTRODUCTION TO POLICE ETHICS,Transferable to CSU only,3
CRIM-16,INTRODUCTION TO VICTIMOLOGY,Transferable to CSU only,3
CRIM-20,INTRODUCTION TO CORRECTIONS,Transferable to CSU only,3
CRIM-28,PROBATION AND PAROLE,Transferable to CSU only,3
CRIM-3,LEGAL ASPECTS OF EVIDENCE,Transferable to CSU only,3
CRIM-4,PRINCIPLES AND PROCEDURES OF THE JUSTICE SYSTEM,Transferable to CSU only,3
CRIM-5,COMMUNITY RELATIONS,Transferable to both UC and CSU,3
CRIM-6,CONCEPTS OF CRIMINAL LAW,Transferable to both UC and CSU,3
CRIM-7,CONCEPTS OF ENFORCEMENT SERVICES,Transferable to CSU only,3
CRIM-8,CRIMINAL INVESTIGATIONS,Transferable to CSU only,3
CSCI-1,INTRODUCTION TO COMPUTER SCIENCE,Transferable to both UC and CSU,3
CSCI-26,DISCRETE MATHEMATICS FOR COMPUTER SCIENCE,Transferable to both UC and CSU,4
CSCI-40,PROGRAMMING CONCEPTS AND METHODOLOGY I,Transferable to both UC and CSU,4
CSCI-41,PROGRAMMING CONCEPTS AND METHODOLOGY II,Transferable to both UC and CSU,4
CSCI-45,COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE,Transferable to both UC and CSU,4
DANCE-10,MODERN DANCE,Transferable to CSU only,1
DANCE-10A,BEGINNING MODERN DANCE TECHNIQUE,Transferable to both UC and CSU,1
DANCE-12A,BEGINNING BALLET PART 1,Transferable to both UC and CSU,1
DANCE-12B,BEGINNING BALLET PART 2,Transferable to both UC and CSU,1
DANCE-16,BEGINNING TAP DANCE,Transferable to both UC and CSU,0.5
DANCE-17A,BEGINNING MEXICAN FOLK DANCE,Transferable to both UC and CSU,3.5
DANCE-17B,BEGINNING INTERMEDIATE MEXICAN FOLK DANCE,Transferable to both UC and CSU,3.5
DANCE-18,INTERMEDIATE TAP DANCE,Transferable to both UC and CSU,0.5
DANCE-20A,BEGINNING MODERN DANCE COMPOSITION,Transferable to both UC and CSU,3
DANCE-20B,INTERMEDIATE MODERN DANCE COMPOSITION,Transferable to both UC and CSU,3
DANCE-21,FALL DANCE CONCERT 1,Transferable to both UC and CSU,4
DANCE-28,INTERMEDIATE MODERN DANCE TECHNIQUE,Transferable to CSU only,1
DANCE-30,DANCE APPRECIATION,Transferable to both UC and CSU,3
DANCE-31,FALL DANCE CONCERT 2,Transferable to both UC and CSU,4
DANCE-8,HIP HOP TECHNIQUE,Transferable to CSU only,1
DANCE-8B,INTERMEDIATE HIP HOP TECHNIQUE,Transferable to CSU only,1
DH-10,HEAD AND NECK ANATOMY,Transferable to CSU only,2
